Inst,n,m,UBPessoa,LB_ROOT_Pessoa,TimeRootPessoa,TimeBCPPessoa,TimeCPLEXPessoa,BestOveralllPessoa,TimePessoa,OptPessoa,UBOliveira,LBRootOliveira,TimeRootOliveira,TimeBCPOliveira,TimeCPLEXOliveira,BestOverallOliveira,TimeOliveira,OptOliveira
1,40,2,606,606,80.900000000000006,,,Root,80.900000000000006,606,606,606,21.899999999999999,,,Root,21.899999999999999,606
6,40,2,3886,3886,27.699999999999999,,,Root,27.699999999999999,3886,3886,3886,6.7000000000000002,,,Root,6.7000000000000002,3886
11,40,2,9617,9617,22.300000000000001,,,Root,22.300000000000001,9617,9617,9617,5.0999999999999996,,,Root,5.0999999999999996,9617
16,40,2,38356,38356,59.100000000000001,,,Root,59.100000000000001,38356,38356,38356,32.5,,,Root,32.5,38356
31,40,2,3812,3812,49.200000000000003,,,Root,49.200000000000003,3812,3812,3812,5.7999999999999998,,,Root,5.7999999999999998,3812
36,40,2,10713,10713,65.700000000000003,,,Root,65.700000000000003,10713,10713,10713,8.0999999999999996,,,Root,8.0999999999999996,10713
56,40,2,1279,1279,24.300000000000001,,,Root,24.300000000000001,1279,1279,1279,5.7000000000000002,,,Root,5.7000000000000002,1279
61,40,2,11488,11394,705.70000000000005,2398.5,1994,MIP,2699.6999999999998,11488,11488,11488,11.1,,,Root,11.1,11488
66,40,2,35279,35197,220.40000000000001,307.80000000000001,1776,BCP,528.20000000000005,35279,35279,35233,556.10000000000002,248.40000000000001,180.47999999999999,MIP,736.60000000000002,35279
71,40,2,47952,47952,15.6,,,Root,15.6,47952,47952,47952,6.5,,,Root,6.5,47952
81,40,2,573,571,83.700000000000003,,,Root,83.700000000000003,571,571,571,18.5,,,Root,18.5,571
86,40,2,6048,6048,46.200000000000003,,,Root,46.200000000000003,6048,6048,6048,5.2000000000000002,,,Root,5.2000000000000002,6048
96,40,2,66116,66116,22.800000000000001,,,Root,22.800000000000001,66116,66116,66116,4.2999999999999998,,,Root,4.2999999999999998,66116
111,40,2,17936,17936,28.100000000000001,,,Root,28.100000000000001,17936,17936,17936,6,,,Root,6,17936
116,40,2,25874,25870,66.599999999999994,,,Root,66.599999999999994,25870,25870,25870,9.8000000000000007,,,Root,9.8000000000000007,25870
121,40,2,64516,64516,24.300000000000001,,,Root,24.300000000000001,64516,64516,64516,4.4000000000000004,,,Root,4.4000000000000004,64516
