NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost
wt040_001,0.677477,0.63221,0.428001,0.428002,0.181393,0.022911,0.312206,0.037671,584,606,0.037671,161,27/8/2019,4,1,0.8,1,40,2,31671,14589
wt040_001,0.827363,0.792569,0.573636,0.573638,0.184745,0.033669,0.456315,0.037671,584,606,0.037671,163,27/8/2019,4,1,0.8,2,40,2,31671,14596
wt040_001,0.530158,0.51186,0.308876,0.30888,0.179439,0.02145,0.185396,0.037671,584,606,0.037671,161,27/8/2019,4,1,0.8,3,40,2,31671,14595
wt040_001,0.689538,0.671287,0.462906,0.46291,0.177645,0.028179,0.326625,0.037671,584,606,0.037671,158,27/8/2019,4,1,0.8,4,40,2,31671,14584
wt040_001,0.947382,0.923495,0.699709,0.699714,0.188985,0.033167,0.546985,0.037671,584,606,0.037671,152,27/8/2019,4,1,0.8,5,40,2,23446,14312
wt040_001,1.152948,1.136943,0.907357,0.907362,0.190825,0.036473,0.743057,0.037671,584,606,0.037671,165,27/8/2019,4,1,0.8,6,40,2,23446,14304
wt040_001,0.843732,0.811786,0.593365,0.593369,0.188471,0.027773,0.446321,0.037671,584,606,0.037671,161,27/8/2019,4,1,0.8,7,40,2,23446,14304
wt040_001,1.073952,1.027056,0.791925,0.791931,0.18998,0.042287,0.63255,0.037671,584,606,0.037671,158,27/8/2019,4,1,0.8,8,40,2,23446,14308
wt040_001,0.260118,0.259227,0.062328,0.062331,0.193024,0,0.022926,0.037671,584,606,0.037671,140,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_001,1.523318,1.500102,1.26183,1.261833,0.180908,0,1.16979,0.037671,584,606,0.037671,158,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_006,0.824362,0.793757,0.516925,0.516928,0.250558,0.024884,0.311204,0.002839,3875,3886,0.002839,232,27/8/2019,4,1,0.8,1,40,2,30237,7512
wt040_006,1.002268,0.986731,0.691695,0.691699,0.267427,0.02557,0.515168,0.002839,3875,3886,0.002839,221,27/8/2019,4,1,0.8,2,40,2,30237,7861
wt040_006,0.720498,0.657746,0.367831,0.367836,0.259814,0.027822,0.182575,0.002839,3875,3886,0.002839,240,27/8/2019,4,1,0.8,3,40,2,30237,7487
wt040_006,0.768288,0.746321,0.448595,0.448599,0.271863,0.023647,0.269738,0.002839,3875,3886,0.002839,222,27/8/2019,4,1,0.8,4,40,2,30237,7941
wt040_006,1.293098,1.256441,0.964571,0.964573,0.256876,0.034693,0.747506,0.002839,3875,3886,0.002839,232,27/8/2019,4,1,0.8,5,40,2,23867,6948
wt040_006,1.492072,1.445886,1.139768,1.139773,0.27358,0.030085,0.929932,0.002839,3875,3886,0.002839,221,27/8/2019,4,1,0.8,6,40,2,23867,7387
wt040_006,1.204318,1.177029,0.807189,0.807193,0.336328,0.031626,0.586077,0.002839,3875,3886,0.002839,240,27/8/2019,4,1,0.8,7,40,2,23867,6968
wt040_006,1.303507,1.283111,0.976508,0.976509,0.268906,0.037607,0.786228,0.002839,3875,3886,0.002839,222,27/8/2019,4,1,0.8,8,40,2,23867,7386
wt040_006,0.408789,0.403789,0.118027,0.118031,0.285336,0,0.030119,0.002839,3875,3886,0.002839,215,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_006,1.958557,1.941911,1.643857,1.64386,0.258575,0,1.486785,0.002839,3875,3886,0.002839,219,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_011,0.76424,0.754303,0.453351,0.453355,0.275369,0.023347,0.283661,0.002606,9592,9617,0.002606,222,27/8/2019,4,1,0.8,1,40,2,27102,5919
wt040_011,0.932703,0.902373,0.608288,0.608292,0.272925,0.019694,0.4261,0.002606,9592,9617,0.002606,226,27/8/2019,4,1,0.8,2,40,2,27102,5774
wt040_011,0.673652,0.640805,0.357801,0.357803,0.261453,0.021484,0.172955,0.002606,9592,9617,0.002606,232,27/8/2019,4,1,0.8,3,40,2,27102,5839
wt040_011,0.816672,0.792667,0.455915,0.455919,0.318768,0.016406,0.254514,0.002606,9592,9617,0.002606,238,27/8/2019,4,1,0.8,4,40,2,27102,5967
wt040_011,1.257953,1.22746,0.868447,0.868448,0.339125,0.020028,0.674748,0.002606,9592,9617,0.002606,222,27/8/2019,4,1,0.8,5,40,2,20638,4884
wt040_011,1.385708,1.351558,1.022163,1.022167,0.292347,0.034397,0.811748,0.002606,9592,9617,0.002606,226,27/8/2019,4,1,0.8,6,40,2,20638,4820
wt040_011,1.08758,1.050837,0.756611,0.756614,0.266104,0.028042,0.532838,0.002606,9592,9617,0.002606,232,27/8/2019,4,1,0.8,7,40,2,20638,4829
wt040_011,1.229409,1.215592,0.896552,0.896556,0.28239,0.034902,0.679894,0.002606,9592,9617,0.002606,238,27/8/2019,4,1,0.8,8,40,2,20638,4933
wt040_011,0.419715,0.401528,0.128186,0.12819,0.2732,0,0.030271,0.002606,9592,9617,0.002606,232,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_011,2.141356,2.121407,1.704659,1.704662,0.370345,0,1.547033,0.002606,9592,9617,0.002606,226,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_016,1.159572,1.121957,0.664416,0.664419,0.444294,0.013446,0.369639,0.002169,38273,38356,0.002169,310,27/8/2019,4,1,0.8,1,40,2,28437,5554
wt040_016,1.513003,1.489836,1.007683,1.007687,0.455631,0.023635,0.687915,0.002169,38273,38356,0.002169,336,27/8/2019,4,1,0.8,2,40,2,28437,5488
wt040_016,0.927412,0.907133,0.496624,0.496626,0.382405,0.028293,0.231181,0.002169,38273,38356,0.002169,290,27/8/2019,4,1,0.8,3,40,2,28437,5571
wt040_016,1.245478,1.222227,0.793966,0.793968,0.393899,0.034228,0.420974,0.002169,38273,38356,0.002169,314,27/8/2019,4,1,0.8,4,40,2,28437,5541
wt040_016,1.852992,1.825151,1.390569,1.390573,0.403776,0.028266,1.022112,0.002169,38273,38356,0.002169,310,27/8/2019,4,1,0.8,5,40,2,21283,4181
