NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost
wt040_016,1.974443,1.938756,1.512991,1.512994,0.389837,0.036163,1.168365,0.002169,38273,38356,0.002169,336,27/8/2019,4,1,0.8,6,40,2,21283,4152
wt040_016,1.438402,1.385843,0.958804,0.958809,0.394895,0.02995,0.667594,0.002169,38273,38356,0.002169,290,27/8/2019,4,1,0.8,7,40,2,21283,4195
wt040_016,1.788701,1.744671,1.271969,1.271973,0.441,0.028341,0.951699,0.002169,38273,38356,0.002169,314,27/8/2019,4,1,0.8,8,40,2,21283,4165
wt040_016,0.700071,0.660252,0.273302,0.273305,0.3831,0,0.041522,0.002273,38269,38356,0.002273,322,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_016,2.594051,2.572893,2.150079,2.150082,0.381697,0,1.893593,0.002038,38278,38356,0.002038,290,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_021,1.223244,1.19655,0.785753,0.785755,0.391415,0.019557,0.262588,0,41048,41048,0,377,27/8/2019,4,1,0.8,1,40,2,21522,0
wt040_021,1.741776,1.694503,1.174952,1.174957,0.49792,0.017532,0.63434,0,41048,41048,0,403,27/8/2019,4,1,0.8,2,40,2,21522,0
wt040_021,1.279167,1.228606,0.720874,0.720879,0.492364,0.015492,0.195985,0,41048,41048,0,382,27/8/2019,4,1,0.8,3,40,2,21522,0
wt040_021,1.417642,1.367209,0.867188,0.867193,0.478622,0.017921,0.350532,0,41048,41048,0,390,27/8/2019,4,1,0.8,4,40,2,21522,270
wt040_021,2.025435,1.980577,1.460943,1.460948,0.483495,0.034662,0.857182,0,41048,41048,0,405,27/8/2019,4,1,0.8,5,40,2,12993,0
wt040_021,2.180709,2.130642,1.618193,1.618197,0.489235,0.02339,1.025682,0,41048,41048,0,421,27/8/2019,4,1,0.8,6,40,2,12993,553
wt040_021,1.81906,1.774109,1.156911,1.156917,0.583579,0.030718,0.618029,0,41048,41048,0,382,27/8/2019,4,1,0.8,7,40,2,12993,0
wt040_021,2.060855,1.995577,1.478553,1.478558,0.487372,0.025237,0.927025,0,41048,41048,0,390,27/8/2019,4,1,0.8,8,40,2,12993,401
wt040_021,1.310346,1.269798,0.759491,0.759494,0.50846,0,0.064057,4.9E-05,41046,41048,4.9E-05,451,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_021,3.725539,3.649836,3.122429,3.122433,0.480472,0,2.592822,0,41048,41048,0,387,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_026,0.52463,0.503211,0.305351,0.305355,0.163446,0.03237,0.211656,0.060976,82,87,0.060976,117,27/8/2019,4,1,0.8,1,40,2,34385,18121
wt040_026,0.634075,0.615649,0.410508,0.410512,0.16542,0.036808,0.329033,0.060976,82,87,0.060976,110,27/8/2019,4,1,0.8,2,40,2,34385,18948
wt040_026,0.414947,0.395109,0.185225,0.185231,0.17619,0.031527,0.095072,0.060976,82,87,0.060976,116,27/8/2019,4,1,0.8,3,40,2,34385,19001
wt040_026,0.489722,0.481611,0.265995,0.266001,0.171835,0.040405,0.181072,0.060976,82,87,0.060976,109,27/8/2019,4,1,0.8,4,40,2,34385,18985
wt040_026,0.845544,0.820349,0.608532,0.608535,0.169847,0.041523,0.476421,0.060976,82,87,0.060976,114,27/8/2019,4,1,0.8,5,40,2,28561,17990
wt040_026,1.050905,1.003124,0.784267,0.784271,0.170072,0.046235,0.645832,0.060976,82,87,0.060976,119,27/8/2019,4,1,0.8,6,40,2,28561,18834
wt040_026,0.808432,0.789073,0.561626,0.561631,0.169679,0.055273,0.413698,0.060976,82,87,0.060976,116,27/8/2019,4,1,0.8,7,40,2,28561,18868
wt040_026,0.909912,0.880231,0.657898,0.6579,0.172196,0.049683,0.522843,0.060976,82,87,0.060976,109,27/8/2019,4,1,0.8,8,40,2,28561,18834
wt040_026,0.262635,0.248506,0.062875,0.062879,0.181366,0,0.026259,0.060976,82,87,0.060976,113,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_026,1.409545,1.403581,1.14457,1.144573,0.188864,0,1.08611,0.060976,82,87,0.060976,106,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_031,1.05375,1.01712,0.562976,0.562978,0.41609,0.03796,0.351739,0.014369,3758,3812,0.014369,223,27/8/2019,4,1,0.8,1,40,2,35137,11871
wt040_031,1.383558,1.336962,0.879153,0.879159,0.432666,0.022364,0.651142,0.014369,3758,3812,0.014369,229,27/8/2019,4,1,0.8,2,40,2,35137,10570
wt040_031,1.025624,0.979118,0.496817,0.496823,0.436074,0.042744,0.250316,0.014369,3758,3812,0.014369,233,27/8/2019,4,1,0.8,3,40,2,35137,11558
wt040_031,1.231313,1.191675,0.693365,0.693371,0.461497,0.033961,0.42108,0.014369,3758,3812,0.014369,233,27/8/2019,4,1,0.8,4,40,2,35137,10595
wt040_031,1.75715,1.724857,1.20376,1.203765,0.470189,0.047262,0.95326,0.014369,3758,3812,0.014369,223,27/8/2019,4,1,0.8,5,40,2,29174,11019
wt040_031,2.102748,2.079339,1.528695,1.528699,0.491122,0.056211,1.229022,0.014369,3758,3812,0.014369,228,27/8/2019,4,1,0.8,6,40,2,29174,10716
wt040_031,1.498873,1.465197,0.922631,0.922636,0.489296,0.049666,0.676966,0.014369,3758,3812,0.014369,233,27/8/2019,4,1,0.8,7,40,2,29174,10683
wt040_031,1.846651,1.80228,1.278212,1.278217,0.474278,0.046194,1.012073,0.014369,3758,3812,0.014369,233,27/8/2019,4,1,0.8,8,40,2,29174,9704
wt040_031,0.63851,0.626378,0.164976,0.16498,0.459975,0,0.046305,0.016262,3751,3812,0.016262,206,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_031,2.899935,2.877875,2.33752,2.337523,0.472585,0,2.128444,0.014369,3758,3812,0.014369,224,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_036,1.627289,1.597713,0.620197,0.620201,0.939061,0.035113,0.368232,0.004783,10662,10713,0.004783,255,27/8/2019,4,1,0.8,1,40,2,31908,5332
wt040_036,1.852862,1.815452,0.859357,0.859361,0.925204,0.026598,0.572385,0.004783,10662,10713,0.004783,251,27/8/2019,4,1,0.8,2,40,2,31908,5390
wt040_036,1.476897,1.454162,0.49976,0.499763,0.925777,0.028284,0.223389,0.004783,10662,10713,0.004783,258,27/8/2019,4,1,0.8,3,40,2,31908,5376
wt040_036,1.581638,1.530446,0.517752,0.517757,0.980611,0.028402,0.257637,0.004783,10662,10713,0.004783,243,27/8/2019,4,1,0.8,4,40,2,31908,5388
wt040_036,2.251805,2.217228,1.193061,1.193065,0.97755,0.042517,0.917445,0.004783,10662,10713,0.004783,255,27/8/2019,4,1,0.8,5,40,2,27431,4082
wt040_036,2.397648,2.306092,1.376608,1.376613,0.899051,0.026744,1.073861,0.004783,10662,10713,0.004783,251,27/8/2019,4,1,0.8,6,40,2,27431,4211
wt040_036,1.997645,1.966023,1.032278,1.032281,0.898323,0.035117,0.70736,0.004783,10662,10713,0.004783,258,27/8/2019,4,1,0.8,7,40,2,27431,4141
wt040_036,2.182861,2.143075,1.207072,1.207077,0.900716,0.031329,0.898322,0.004783,10662,10713,0.004783,243,27/8/2019,4,1,0.8,8,40,2,27431,4151
wt040_036,1.18763,1.152804,0.279039,0.279042,0.869354,0,0.047758,0.00516,10658,10713,0.00516,269,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_036,3.291389,3.257665,2.344519,2.344523,0.853885,0,2.072562,0.004783,10662,10713,0.004783,253,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_041,1.971467,1.933212,1.327231,1.327236,0.569051,0.033483,0.603206,0.000227,30798,30805,0.000227,431,27/8/2019,4,1,0.8,1,40,2,31152,2369
wt040_041,2.609197,2.559082,1.895788,1.895792,0.63267,0.028171,1.139266,0.000227,30798,30805,0.000227,458,27/8/2019,4,1,0.8,2,40,2,31152,2425
wt040_041,1.906717,1.832976,1.160919,1.160925,0.631825,0.037226,0.39109,0.000227,30798,30805,0.000227,450,27/8/2019,4,1,0.8,3,40,2,31152,2468
wt040_041,2.018194,1.974759,1.303757,1.303761,0.630921,0.037158,0.600318,0.000227,30798,30805,0.000227,449,27/8/2019,4,1,0.8,4,40,2,31152,2305
wt040_041,2.969476,2.926796,2.249523,2.249528,0.626747,0.04644,1.524408,0.000227,30798,30805,0.000227,431,27/8/2019,4,1,0.8,5,40,2,24912,1564
wt040_041,3.421162,3.363159,2.697965,2.69797,0.624028,0.038048,1.948766,0.000227,30798,30805,0.000227,458,27/8/2019,4,1,0.8,6,40,2,24912,1705
wt040_041,2.673362,2.557458,1.862569,1.862574,0.656987,0.034895,1.131821,0.000227,30798,30805,0.000227,450,27/8/2019,4,1,0.8,7,40,2,24912,1646
wt040_041,3.089749,3.048267,2.356424,2.356431,0.646504,0.042326,1.65125,0.000227,30798,30805,0.000227,449,27/8/2019,4,1,0.8,8,40,2,24912,1510
wt040_041,1.466985,1.410749,0.803858,0.803861,0.601514,0,0.084622,0.000227,30798,30805,0.000227,469,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_041,4.820175,4.666829,4.011151,4.011153,0.613165,0,3.3977,0.000227,30798,30805,0.000227,410,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_046,1.561822,1.541065,1.111982,1.111987,0.412778,0.013726,0.376573,0,34146,34146,0,514,27/8/2019,4,1,0.8,1,40,2,18135,0
wt040_046,1.835652,1.804021,1.445387,1.445392,0.341017,0.015393,0.662814,0,34146,34146,0,555,27/8/2019,4,1,0.8,2,40,2,18135,0
wt040_046,1.623943,1.572957,1.228073,1.228078,0.324753,0.020407,0.299301,0,34146,34146,0,544,27/8/2019,4,1,0.8,3,40,2,18135,0
wt040_046,1.773488,1.727602,1.325711,1.325713,0.384781,0.017414,0.495341,0,34146,34146,0,555,27/8/2019,4,1,0.8,4,40,2,18135,1096
wt040_046,2.428802,2.39219,1.999578,1.999583,0.36702,0.023028,1.125029,0,34146,34146,0,527,27/8/2019,4,1,0.8,5,40,2,12109,0
wt040_046,2.677983,2.650887,2.239086,2.239089,0.392076,0.019795,1.36601,0,34146,34146,0,572,27/8/2019,4,1,0.8,6,40,2,12109,318
wt040_046,2.17922,2.106982,1.733227,1.733229,0.35336,0.020679,0.89118,0,34146,34146,0,544,27/8/2019,4,1,0.8,7,40,2,12109,0
wt040_046,2.563475,2.513311,2.128212,2.128216,0.36815,0.016428,1.329589,0,34146,34146,0,555,27/8/2019,4,1,0.8,8,40,2,12109,457
wt040_046,1.787219,1.699094,1.240875,1.240878,0.457204,0,0.094821,0,34146,34146,0,661,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_046,4.006939,3.939385,3.553919,3.553922,0.352735,0,2.823218,0,34146,34146,0,512,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_051,0.068698,0.055648,0,0,0.000895,0.05385,0,1,0,0,0,0,27/8/2019,4,1,0.8,1,40,2,38922,0
wt040_051,0.046795,0.036492,0,0,0.000299,0.035866,0,1,0,0,0,0,27/8/2019,4,1,0.8,2,40,2,38922,0
wt040_051,0.063071,0.04986,0,0,0.000949,0.047967,0,1,0,0,0,0,27/8/2019,4,1,0.8,3,40,2,38922,0
wt040_051,0.049775,0.033195,0,0,0.00064,0.031891,0,1,0,0,0,0,27/8/2019,4,1,0.8,4,40,2,38922,0
wt040_051,0.059773,0.03293,0,0,0,0.032866,0,1,0,0,0,0,27/8/2019,4,1,0.8,5,40,2,34256,0
wt040_051,0.06006,0.043376,0,0,0.000612,0.042173,0,1,0,0,0,0,27/8/2019,4,1,0.8,6,40,2,34256,0
wt040_051,0.059019,0.048993,0,0,0.00088,0.047433,0,1,0,0,0,0,27/8/2019,4,1,0.8,7,40,2,34256,0
wt040_051,0.059505,0.039213,0,0,0,0.039165,0,1,0,0,0,0,27/8/2019,4,1,0.8,8,40,2,34256,0
wt040_051,0.001352,0.000675,0,0,0.000327,0,0,1,0,0,0,0,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_051,0.070215,0.056578,0,0,0.00065,0,0,1,0,0,4.27255705194724E+180,0,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_056,0.85145,0.828532,0.477445,0.477448,0.318162,0.032785,0.330932,0.011867,1264,1279,0.011867,153,27/8/2019,4,1,0.8,1,40,2,32540,15055
wt040_056,0.9887,0.966352,0.606942,0.606944,0.323235,0.036059,0.468587,0.011867,1264,1279,0.011867,166,27/8/2019,4,1,0.8,2,40,2,32540,14408
wt040_056,0.741558,0.70954,0.346932,0.346935,0.335285,0.027163,0.190855,0.011867,1264,1279,0.011867,183,27/8/2019,4,1,0.8,3,40,2,32540,14433
wt040_056,0.9033,0.883528,0.428753,0.42876,0.401479,0.050181,0.27766,0.011867,1264,1279,0.011867,164,27/8/2019,4,1,0.8,4,40,2,32540,15010
wt040_056,1.265338,1.249157,0.863555,0.863557,0.345434,0.040295,0.68192,0.011867,1264,1279,0.011867,168,27/8/2019,4,1,0.8,5,40,2,28988,14893
wt040_056,1.593874,1.542447,1.004216,1.004222,0.476823,0.060214,0.826811,0.011867,1264,1279,0.011867,170,27/8/2019,4,1,0.8,6,40,2,28988,14256
wt040_056,1.102852,1.080192,0.701376,0.70138,0.336479,0.039254,0.512504,0.011867,1264,1279,0.011867,183,27/8/2019,4,1,0.8,7,40,2,28988,14268
wt040_056,1.340499,1.313391,0.945917,0.945924,0.32807,0.036159,0.739656,0.011867,1264,1279,0.011867,164,27/8/2019,4,1,0.8,8,40,2,28988,14801
wt040_056,0.449719,0.438613,0.097604,0.097607,0.336426,0,0.028906,0.011867,1264,1279,0.011867,161,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_056,2.134177,2.109978,1.660674,1.660678,0.37267,0,1.515585,0.011867,1264,1279,0.011867,168,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_061,1.839068,1.778042,0.869437,0.869439,0.882277,0.026602,0.53578,0.017887,11293,11495,0.017887,297,27/8/2019,4,1,0.8,1,40,2,33326,10384
wt040_061,1.874951,1.840455,1.050027,1.050031,0.751075,0.035831,0.747725,0.016897,11304,11495,0.016897,265,27/8/2019,4,1,0.8,2,40,2,33326,10266
wt040_061,1.452664,1.406465,0.63227,0.632274,0.75111,0.022763,0.286713,0.017887,11293,11495,0.017887,280,27/8/2019,4,1,0.8,3,40,2,33326,10483
wt040_061,1.577189,1.54702,0.726425,0.72643,0.777161,0.038832,0.404778,0.016717,11306,11495,0.016717,286,27/8/2019,4,1,0.8,4,40,2,33326,10235
wt040_061,2.373424,2.32452,1.520325,1.520328,0.765369,0.035558,1.170988,0.017887,11293,11495,0.017887,297,27/8/2019,4,1,0.8,5,40,2,30190,8612
wt040_061,2.557407,2.50311,1.637975,1.637978,0.826819,0.037658,1.310054,0.016897,11304,11495,0.016897,265,27/8/2019,4,1,0.8,6,40,2,30190,8602
wt040_061,2.091819,2.043342,1.170645,1.17065,0.82341,0.046192,0.830828,0.017887,11293,11495,0.017887,280,27/8/2019,4,1,0.8,7,40,2,30190,8713
wt040_061,2.388755,2.356271,1.545388,1.545393,0.761869,0.044739,1.192698,0.016717,11306,11495,0.016717,286,27/8/2019,4,1,0.8,8,40,2,30190,8487
wt040_061,1.098512,1.056405,0.303815,0.303819,0.747897,0,0.04894,0.018338,11288,11495,0.018338,295,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_061,3.250614,3.218347,2.426803,2.426806,0.746081,0,2.134456,0.016717,11306,11495,0.016717,292,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_066,1.783095,1.735812,0.815233,0.815237,0.892737,0.023517,0.472654,0.004499,35121,35279,0.004499,286,27/8/2019,4,1,0.8,1,40,2,33816,8380
wt040_066,1.841418,1.797343,1.056458,1.056462,0.724043,0.013247,0.711875,0.004241,35130,35279,0.004241,284,27/8/2019,4,1,0.8,2,40,2,33816,8003
wt040_066,1.430966,1.37689,0.61228,0.612285,0.735314,0.027866,0.277328,0.004499,35121,35279,0.004499,292,27/8/2019,4,1,0.8,3,40,2,33816,8386
wt040_066,1.953316,1.922063,0.893304,0.89331,0.979055,0.045584,0.472684,0.004241,35130,35279,0.004241,282,27/8/2019,4,1,0.8,4,40,2,33816,7939
wt040_066,2.334636,2.271733,1.50819,1.508195,0.716765,0.042892,1.143238,0.004499,35121,35279,0.004499,286,27/8/2019,4,1,0.8,5,40,2,28767,6633
wt040_066,2.709267,2.659918,1.889388,1.889393,0.735805,0.031163,1.477515,0.004241,35130,35279,0.004241,284,27/8/2019,4,1,0.8,6,40,2,28767,6306
wt040_066,2.014307,1.966211,1.183756,1.183761,0.741828,0.038914,0.803312,0.004499,35121,35279,0.004499,292,27/8/2019,4,1,0.8,7,40,2,28767,6629
wt040_066,2.341449,2.267673,1.402248,1.402252,0.79453,0.066791,1.048256,0.004241,35130,35279,0.004241,282,27/8/2019,4,1,0.8,8,40,2,28767,6226
wt040_066,1.151244,1.128352,0.305391,0.305394,0.821446,0,0.044849,0.005014,35103,35279,0.005014,275,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_066,3.306803,3.216046,2.381823,2.381827,0.786868,0,2.067542,0.004241,35130,35279,0.004241,274,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_071,1.621343,1.591279,1.052925,1.05293,0.515723,0.020062,0.432772,0.000396,47933,47952,0.000396,389,27/8/2019,4,1,0.8,1,40,2,26004,2944
wt040_071,1.816399,1.772061,1.220363,1.220368,0.523982,0.025328,0.721315,0.000355,47935,47952,0.000355,371,27/8/2019,4,1,0.8,2,40,2,26004,2577
wt040_071,1.39997,1.367039,0.800337,0.800342,0.53701,0.026165,0.256742,0.000396,47933,47952,0.000396,364,27/8/2019,4,1,0.8,3,40,2,26004,2942
wt040_071,1.516586,1.475625,0.909135,0.909139,0.538705,0.024927,0.413646,0.000355,47935,47952,0.000355,390,27/8/2019,4,1,0.8,4,40,2,26004,2729
wt040_071,2.247946,2.212295,1.632158,1.632163,0.539343,0.037909,1.061802,0.000396,47933,47952,0.000396,393,27/8/2019,4,1,0.8,5,40,2,19736,1985
wt040_071,2.295801,2.243775,1.68592,1.685924,0.531052,0.026511,1.186487,0.000355,47935,47952,0.000355,376,27/8/2019,4,1,0.8,6,40,2,19736,2110
wt040_071,1.963399,1.931898,1.371814,1.371816,0.524736,0.035203,0.818894,0.000396,47933,47952,0.000396,364,27/8/2019,4,1,0.8,7,40,2,19736,2153
wt040_071,2.254602,2.21833,1.639411,1.639415,0.545037,0.030448,1.151391,0.000355,47935,47952,0.000355,390,27/8/2019,4,1,0.8,8,40,2,19736,1978
wt040_071,1.154552,1.0927,0.559074,0.559077,0.532556,0,0.055017,0.000417,47932,47952,0.000417,409,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_071,3.483954,3.414123,2.852507,2.852509,0.518997,0,2.424547,0.000355,47935,47952,0.000355,372,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_076,0.040752,0.027238,0,0,0.000572,0.0261,0,1,0,0,0,0,27/8/2019,4,1,0.8,1,40,2,33137,0
wt040_076,0.043999,0.033555,0,0,0,0.033512,0,1,0,0,0,0,27/8/2019,4,1,0.8,2,40,2,33137,0
wt040_076,0.042464,0.0323,0,0,0.00076,0.030815,0,1,0,0,0,0,27/8/2019,4,1,0.8,3,40,2,33137,0
wt040_076,0.042013,0.038131,0,0,0.000285,0.03754,0,1,0,0,4.27255705194724E+180,0,27/8/2019,4,1,0.8,4,40,2,33137,0
wt040_076,0.052011,0.041369,0,0,0.00037,0.040672,0,1,0,0,0,0,27/8/2019,4,1,0.8,5,40,2,30172,0
wt040_076,0.051621,0.031187,0,0,0.000582,0.030045,0,1,0,0,0,0,27/8/2019,4,1,0.8,6,40,2,30172,0
wt040_076,0.063017,0.036039,0,0,0.00041,0.035235,0,1,0,0,0,0,27/8/2019,4,1,0.8,7,40,2,30172,0
wt040_076,0.048723,0.031552,0,0,0,0.031483,0,1,0,0,4.27255705194724E+180,0,27/8/2019,4,1,0.8,8,40,2,30172,0
wt040_076,0.001699,0.00169,0,0,0.000833,0,0,1,0,0,4.27255705194724E+180,0,27/8/2019,4,1,0.8,9,40,2,0,0
wt040_076,0.058244,0.048795,0,0,0,0,0,1,0,0,0,0,27/8/2019,4,1,0.8,10,40,2,0,0
wt040_081,1.242952,1.206406,0.486311,0.486317,0.693818,0.022411,0.315716,0.339246,451,604,0.339246,183,27/8/2019,4,1,0.8,1,40,2,32764,13647
wt040_081,1.405834,1.366246,0.669744,0.669748,0.663739,0.029445,0.506761,0.339246,451,604,0.339246,184,27/8/2019,4,1,0.8,2,40,2,32764,13602
wt040_081,1.238223,1.208551,0.410268,0.410272,0.764519,0.030301,0.214299,0.339246,451,604,0.339246,210,27/8/2019,4,1,0.8,3,40,2,32764,13702
wt040_081,1.356554,1.31395,0.59347,0.593475,0.689865,0.025912,0.367437,0.339246,451,604,0.339246,210,27/8/2019,4,1,0.8,4,40,2,32764,13640
wt040_081,1.777824,1.752871,1.019247,1.019251,0.696412,0.033483,0.813874,0.339246,451,604,0.339246,185,27/8/2019,4,1,0.8,5,40,2,31170,13324
wt040_081,1.867687,1.823829,1.09864,1.098644,0.687768,0.033204,0.903881,0.339246,451,604,0.339246,186,27/8/2019,4,1,0.8,6,40,2,31170,13259
wt040_081,1.587609,1.570672,0.83939,0.839392,0.686645,0.044492,0.599536,0.339246,451,604,0.339246,210,27/8/2019,4,1,0.8,7,40,2,31170,13343
